X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,148,1,Sep,"2020",Sep_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,184,2,Oct,"2020",Oct_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,218,4,Nov,"2020",Nov_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,298,6,Dec,"2020",Dec_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,441,7,Jan,"2021",Jan_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,609,7,Feb,"2021",Feb_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,700,10,Mar,"2021",Mar_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,733,11,Apr,"2021",Apr_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,759,13,May,"2021",May_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,963,15,Jun,"2021",Jun_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1484,20,Jul,"2021",Jul_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1568,23,Aug,"2021",Aug_2021
-3625164.36177694,691811.902461816,25391,"3171021002",KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0,0,Mar,"2020",Mar_2020
-3625164.36177694,691811.902461816,25391,"3171021002",KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,8,1,Apr,"2020",Apr_2020
-3625164.36177694,691811.902461816,25391,"3171021002",KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,18,2,May,"2020",May_2020
-3625164.36177694,691811.902461816,25391,"3171021002",KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,38,5,Jun,"2020",Jun_2020
-3625164.36177694,691811.902461816,25391,"3171021002",KARANG ANYAR,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,55,5,Jul,"2020",Jul_2020
