"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25528,"3174021007","GUNTUR",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","GUNTUR",4780,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","GUNTUR",454,7,"Oct","2021","Oct_2021",c(-3624140.76309545, 684917.941135195)
25529,"3174021008","KUNINGAN TIMUR",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","KUNINGAN TIMUR",7309,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KUNINGAN TIMUR",1829,8,"Oct","2021","Oct_2021",c(-3624410.56903321, 681701.905683994)
25530,"3174031001","MAMPANG PRAPATAN",317403,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN",22650,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN",2147,33,"Oct","2021","Oct_2021",c(-3624392.20206247, 680228.898054919)
25531,"3174031002","BANGKA",317403,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","BANGKA",26261,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","BANGKA",1936,28,"Oct","2021","Oct_2021",c(-3625592.76849579, 677456.781184746)
25538,"3174041004","RAGUNAN",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","RAGUNAN",48260,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","RAGUNAN",3770,73,"Oct","2021","Oct_2021",c(-3624866.00625721, 672855.104169925)
25539,"3174041005","PEJATEN TIMUR",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN TIMUR",71144,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN TIMUR",3773,93,"Oct","2021","Oct_2021",c(-3621487.80076633, 675540.658917735)
25540,"3174041006","PEJATEN BARAT",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN BARAT",45297,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN BARAT",3449,54,"Oct","2021","Oct_2021",c(-3623278.93818393, 676331.148659027)
25541,"3174041007","KEBAGUSAN",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","KEBAGUSAN",54249,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","KEBAGUSAN",3554,64,"Oct","2021","Oct_2021",c(-3623493.76016544, 671480.645395562)
25542,"3174051001","KEBAYORAN LAMA UTARA",317405,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA UTARA",52421,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA UTARA",2993,54,"Oct","2021","Oct_2021",c(-3631034.96644953, 679385.688878538)
25544,"3174051003","CIPULIR",317405,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","CIPULIR",48638,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","CIPULIR",2718,54,"Oct","2021","Oct_2021",c(-3631758.04512263, 680323.964204929)
25546,"3174051005","GROGOL SELATAN",317405,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL SELATAN",54015,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL SELATAN",2991,50,"Oct","2021","Oct_2021",c(-3630797.57514975, 681553.403261631)
25558,"3174071006","SENAYAN",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SENAYAN",3408,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SENAYAN",947,2,"Oct","2021","Oct_2021",c(-3626953.11508544, 682143.892698464)
25550,"3174061003","PONDOK LABU",317406,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","PONDOK LABU",55767,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","PONDOK LABU",3839,60,"Oct","2021","Oct_2021",c(-3627943.26037237, 671219.551780789)
25551,"3174061004","GANDARIA SELATAN",317406,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN",26710,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN",2045,32,"Oct","2021","Oct_2021",c(-3628822.10583361, 676202.210437319)
25552,"3174061005","CIPETE SELATAN",317406,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CIPETE SELATAN",32280,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CIPETE SELATAN",2425,48,"Oct","2021","Oct_2021",c(-3627231.40886833, 676076.709624012)
25559,"3174071007","PULO",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PULO",6776,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PULO",722,10,"Oct","2021","Oct_2021",c(-3627820.06463122, 678600.916235578)
25561,"3174071009","GANDARIA UTARA",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GANDARIA UTARA",48110,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GANDARIA UTARA",3411,53,"Oct","2021","Oct_2021",c(-3629203.91414301, 677899.893465128)
25578,"3174101004","PETUKANGAN SELATAN",317410,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN SELATAN",45231,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN SELATAN",2842,34,"Oct","2021","Oct_2021",c(-3634221.37593489, 679464.572156184)
25564,"3174081002","KALIBATA",317408,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","KALIBATA",51670,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","KALIBATA",4024,77,"Oct","2021","Oct_2021",c(-3623044.41978136, 677611.951642645)
25565,"3174081003","RAWAJATI",317408,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","RAWAJATI",24671,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","RAWA JATI",2468,30,"Oct","2021","Oct_2021",c(-3620863.64009191, 678456.934119912)
25572,"3174091004","LENTENG AGUNG",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","LENTENG AGUNG",65606,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","LENTENG AGUNG",4177,65,"Oct","2021","Oct_2021",c(-3622570.75903095, 669449.040919854)
25569,"3174091001","JAGAKARSA",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA",75047,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA",6607,100,"Oct","2021","Oct_2021",c(-3624882.27631688, 669358.367083694)
25574,"3174091006","CIPEDAK",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK",45772,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK",3344,50,"Oct","2021","Oct_2021",c(-3626861.71505986, 665443.305573707)
25576,"3174101002","BINTARO",317410,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO",63832,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO",3886,82,"Oct","2021","Oct_2021",c(-3632682.15625199, 676097.054095282)
